"","logFC","logCPM","PValue","FDR"
"Solyc02g063170.2.1",1.75274778767833,5.32914840467205,3.91201391951763e-10,8.23353314932605e-09
"Solyc04g081390.2.1",1.75212907515506,-0.370961774613628,0.00266812231489205,0.00991245247383621
"Solyc07g054400.1.1",1.75207870875701,4.11871997437228,3.07090889663983e-05,0.000218448747280044
"Solyc02g077430.2.1",1.7516110424569,4.45792177140785,7.86335685348511e-09,1.31195105146038e-07
"Solyc02g067880.1.1",1.75097845655347,1.60702312324919,0.000203634698410331,0.00111043109489693
"Solyc03g078150.2.1",1.75061418526313,5.9025996543983,1.86402036504805e-07,2.35217223292449e-06
"Solyc01g091300.2.1",1.75026381949309,3.9067530814176,7.32189624267856e-08,1.00581809403167e-06
"Solyc12g040800.1.1",1.74985648119068,6.53930085337877,8.89879471695105e-06,7.32235472028601e-05
"Solyc10g007370.1.1",1.74914330161534,6.77205341576998,1.24299674064895e-07,1.62667360109684e-06
"Solyc12g008320.1.1",1.74908629992485,6.05834368509119,4.18443001768888e-07,4.89520698805715e-06
"Solyc05g008710.1.1",1.74885678373413,1.98147248137186,4.28422501089283e-05,0.000291126794949326
"Solyc06g084190.2.1",1.74853553522315,3.49698211839414,2.23972303600823e-06,2.15732032782881e-05
"Solyc04g005580.1.1",1.74776411240228,3.08679245144068,0.000209924715356257,0.00113995457284905
"Solyc05g009240.2.1",1.74744774227689,5.14909919555131,1.12451125680372e-06,1.17421086674256e-05
"Solyc03g007470.2.1",1.7468882066657,8.03051451307644,0.000103343691270916,0.000621470758789974
"Solyc12g009270.1.1",1.74635164753669,4.67067795825341,2.97174237417855e-08,4.44135125772183e-07
"Solyc02g080240.1.1",1.74605829729939,2.80546960865071,2.59507021642684e-06,2.45803079418036e-05
"Solyc08g015680.1.1",1.74603011762277,4.53830480533607,3.03497177869609e-06,2.81997924564873e-05
